"Year","Tm","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PTS"
1962,"DET",3472,8366,NA,NA,3472,8366,2290,3142,NA,NA,1723,NA,NA,NA,9234
1962,"LAL",3552,8313,NA,NA,3552,8313,2378,3247,NA,NA,1878,NA,NA,NA,9482
1962,"NYK",3638,8696,NA,NA,3638,8696,1911,2693,NA,NA,1765,NA,NA,NA,9187
1962,"PHW",3917,8929,NA,NA,3917,8929,2201,3207,NA,NA,2073,NA,NA,NA,10035
1962,"STL",3476,7996,NA,NA,3476,7996,2121,2795,NA,NA,1877,NA,NA,NA,9073
1962,"SYR",3658,8742,NA,NA,3658,8742,2224,2842,NA,NA,1771,NA,NA,NA,9540
1962,"TOT",2169,5489,NA,NA,2169,5489,1031,1537,NA,NA,1267,NA,NA,NA,5369
1963,"BOS",3746,8779,NA,NA,3746,8779,2012,2777,NA,NA,1960,NA,NA,NA,9504
1963,"CHZ",3372,7447,NA,NA,3372,7447,2057,2948,NA,NA,1772,NA,NA,NA,8801
1963,"CIN",3672,7998,NA,NA,3672,7998,2183,2923,NA,NA,1931,NA,NA,NA,9527
1963,"DET",3534,8188,NA,NA,3534,8188,2044,2852,NA,NA,1731,NA,NA,NA,9112
1963,"LAL",3506,7948,NA,NA,3506,7948,2230,2931,NA,NA,1739,NA,NA,NA,9242
1963,"NYK",3433,8007,NA,NA,3433,8007,1971,2778,NA,NA,1658,NA,NA,NA,8837
1963,"SFW",3805,8454,NA,NA,3805,8454,1870,2797,NA,NA,1906,NA,NA,NA,9480
1963,"STL",3354,7781,NA,NA,3354,7781,2052,2816,NA,NA,1904,NA,NA,NA,8760
1963,"SYR",3690,8290,NA,NA,3690,8290,2350,3005,NA,NA,1742,NA,NA,NA,9730
1963,"TOT",1703,3942,NA,NA,1703,3942,735,1039,NA,NA,791,NA,NA,NA,4141
1964,"BAL",3456,7864,NA,NA,3456,7864,2036,2956,NA,NA,1426,NA,NA,NA,8948
1964,"BOS",3619,8770,NA,NA,3619,8770,1804,2489,NA,NA,1760,NA,NA,NA,9042
1964,"CIN",3516,7761,NA,NA,3516,7761,2146,2822,NA,NA,1916,NA,NA,NA,9178
1964,"DET",3346,7943,NA,NA,3346,7943,1928,2693,NA,NA,1630,NA,NA,NA,8620
1964,"LAL",3272,7438,NA,NA,3272,7438,2230,2910,NA,NA,1676,NA,NA,NA,8774
1964,"NYK",3512,7887,NA,NA,3512,7887,1952,2851,NA,NA,1563,NA,NA,NA,8976
1964,"PHI",3394,8116,NA,NA,3394,8116,2184,2852,NA,NA,1643,NA,NA,NA,8972
1964,"SFW",3407,7779,NA,NA,3407,7779,1800,2821,NA,NA,1899,NA,NA,NA,8614
1964,"STL",3341,7777,NA,NA,3341,7777,2115,2795,NA,NA,1901,NA,NA,NA,8797
1964,"TOT",2809,6497,NA,NA,2809,6497,1713,2342,NA,NA,1581,NA,NA,NA,7331
1965,"BAL",3421,7734,NA,NA,3421,7734,2245,3144,NA,NA,1676,NA,NA,NA,9087
1965,"BOS",3567,8609,NA,NA,3567,8609,1890,2587,NA,NA,1772,NA,NA,NA,9024
1965,"CIN",3482,7797,NA,NA,3482,7797,2170,2866,NA,NA,1843,NA,NA,NA,9134
1965,"DET",3467,8297,NA,NA,3467,8297,1747,2537,NA,NA,1609,NA,NA,NA,8681
1965,"LAL",3336,7628,NA,NA,3336,7628,2276,2984,NA,NA,1601,NA,NA,NA,8948
1965,"NYK",3339,7834,NA,NA,3339,7834,1915,2684,NA,NA,1550,NA,NA,NA,8593
1965,"PHI",3391,8028,NA,NA,3391,8028,2221,3011,NA,NA,1692,NA,NA,NA,9003
1965,"SFW",3323,8245,NA,NA,3323,8245,1819,2844,NA,NA,1653,NA,NA,NA,8465
1965,"STL",3269,7710,NA,NA,3269,7710,2168,2947,NA,NA,1691,NA,NA,NA,8706
1965,"TOT",2035,4549,NA,NA,2035,4549,1094,1822,NA,NA,701,NA,NA,NA,5164
